"sitecode","nazev_cz","nazev_lat","feature_code","pop_typ","pop_min","pop_max","pop_jednotka","zachovalost","izolace","celkove","stav_text","source_file","druh_cz","druh","poznamka","pop_prum"
"CZ0213086","èolek velký","Triturus cristatus","1166","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stav pøedmìtu ochrany minimálnì na úrovni v dobì vyhlášení EVL.","Aglaia.pdf","èolek velký","Triturus cristatus","Udržet stav pøedmìtu ochrany minimálnì na úrovni v dobì vyhlášení EVL.",NA
"CZ0713723","vrápenec malý","Rhinolophus hipposideros","1303","rozmnožující se",20,130,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je pomocí managementových opatøení a ochrany lokality zajistit pøedmìt ochrany ve stavu minimálnì
jako v dobì vyhlašování EVL.","ÄŒechy pod KosÃ­Å™em SDO 2012.pdf","vrápenec malý","Rhinolophus hipposideros","Cílem je pomocí managementových opatøení a ochrany lokality zajistit pøedmìt ochrany ve stavu minimálnìjako v dobì vyhlašování EVL.",75
"CZ0313097","èolek velký","Triturus cristatus","1166","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stav populace èolka velkého na stejné úrovni jako pøi vyhlášení EVL, populaci podporovat i na novì
vznikajících a managementem udržovaných mikrolokalitách v rámci hranic EVL.","ÄŒepskÃ¡ pÃ­skovna.pdf","èolek velký","Triturus cristatus","Udržet stav populace èolka velkého na stejné úrovni jako pøi vyhlášení EVL, populaci podporovat i na novìvznikajících a managementem udržovaných mikrolokalitách v rámci hranic EVL.",NA
"CZ0723007","hoøavka duhová Rhodeus","sericeus amarus","1134","stálá",101,500,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota",NA,"ÄŒerÅ¥Ã¡k SDO 2013.pdf","hoøavka duhová Rhodeus","sericeus amarus",NA,300.5
"CZ0713724","vrápenec malý","Rhinolophus hipposideros","1303","rozmnožující se",13,50,"jedinci","prùmìrné nebo omezené zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zachování existence letní kolonie vrápence malého (Rhinolophus hipposideros) v poèetnosti minimálnì jako
v dobì vyhlášení.","ÄŒernÃ¡ Voda - kostel SDO 2013.pdf","vrápenec malý","Rhinolophus hipposideros","Zachování existence letní kolonie vrápence malého (Rhinolophus hipposideros) v poèetnosti minimálnì jakov dobì vyhlášení.",31.5
"CZ0713725","netopýr brvitý","Myotis emarginatus","1321","rozmnožující se",500,710,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Cílem je udržení stavu populace netopýra brvitého minimálnì na úrovni v dobì vyhlášení EVL zajištìním
vhodných podmínek na lokalitì.","ÄŒernÃ¡ Voda - kulturnÃ­ dÅ¯m SDO 2013.pdf","netopýr brvitý","Myotis emarginatus","Cílem je udržení stavu populace netopýra brvitého minimálnì na úrovni v dobì vyhlášení EVL zajištìnímvhodných podmínek na lokalitì.",605
"CZ0813760","netopýr èerný","Barbastella barbastellus","1308",NA,NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Udržení stavu populace na úrovni v dobì pøi vyhlášení.","ÄŒernÃ½ dÅ¯l SDO 2013.pdf","netopýr èerný","Barbastella barbastellus","Udržení stavu populace na úrovni v dobì pøi vyhlášení.",NA
"CZ0423656","netopýr velký","Myotis myotis","1324","rozmnožující se",430,430,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zlepšit stav populace netopýra velkého oproti stavu pøi vyhlášení.","ÃšÅ¡tÄ›k - kostel SDO 2013.pdf","netopýr velký","Myotis myotis","Zlepšit stav populace netopýra velkého oproti stavu pøi vyhlášení.",430
"CZ0533684","vrápenec malý","Rhinolophus hipposideros","1303",NA,NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Stabilní zimující populace, minimálnì 100 jedincù každou zimu.","BÄ›stvina krypta SDO 2013.pdf","vrápenec malý","Rhinolophus hipposideros","Stabilní zimující populace, minimálnì 100 jedincù každou zimu.",NA
"CZ0713720","netopýr velký","Myotis myotis","1324","rozmnožující se",320,350,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zachování letní kolonie netopýrù velkých v poèetnosti alespoò jako v dobì vyhlášení EVL.","BÃ­lÃ¡ _lhota.pdf","netopýr velký","Myotis myotis","Cílem je zachování letní kolonie netopýrù velkých v poèetnosti alespoò jako v dobì vyhlášení EVL.",335
"CZ0513657","netopýr velký","Myotis myotis","1324",NA,NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Dlouhodobým cílem je zajištìní stabilní populace netopýra velkého.","BÃ­lÃ¡ DesnÃ¡ - kanÃ¡l protrÅ¾enÃ© pÅ™ehrady SDO 2013.pdf","netopýr velký","Myotis myotis","Dlouhodobým cílem je zajištìní stabilní populace netopýra velkého.",NA
"CZ0622220","koniklec velkokvìtý","Pulsatilla grandis","2093","stálá",550,550,"jedinci","prùmìrné nebo omezené zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stav populace na úrovni v dobì vyhlášení EVL.","BÃ­lÃ¡ hora SDO 2013.pdf","koniklec velkokvìtý","Pulsatilla grandis","Udržet stav populace na úrovni v dobì vyhlášení EVL.",550
"CZ0622220","koniklec velkokvìtý","Pulsatilla grandis","2093","stálá",550,550,"jedinci","prùmìrné nebo omezené zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet stav populace na úrovni v dobì vyhlášení EVL.","BÃ­lÃ¡ hora.pdf","koniklec velkokvìtý","Pulsatilla grandis","Udržet stav populace na úrovni v dobì vyhlášení EVL.",550
"CZ0713720","netopýr velký","Myotis myotis","1324","rozmnožující se",320,350,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Cílem je zachování letní kolonie netopýrù velkých v poèetnosti alespoò jako v dobì vyhlášení EVL.","BÃ­lÃ¡ lhota.pdf","netopýr velký","Myotis myotis","Cílem je zachování letní kolonie netopýrù velkých v poèetnosti alespoò jako v dobì vyhlášení EVL.",335
"CZ0623803","páchník hnìdý *","Osmoderma eremita","1084","stálá",NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování stabilní a životaschopné populace pøedmìtu ochrany na lokalitì odpovídající stavu pøi vyhlášení
EVL.
* oznaèuje prioritní druh","bezrucova alej.pdf","páchník hnìdý","Osmoderma eremita","Zachování stabilní a životaschopné populace pøedmìtu ochrany na lokalitì odpovídající stavu pøi vyhlášeníEVL.",NA
"CZ0424030","modrásek bahenní","Maculinea nausithous","1061","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.","bezrucovo udoli.pdf","modrásek bahenní","Maculinea nausithous","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.",NA
"CZ0424030","modrásek oèkovaný","Maculinea teleius","1059","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.","bezrucovo udoli.pdf","modrásek oèkovaný","Maculinea teleius","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.",NA
"CZ0424030","koniklec otevøený","Pulsatilla patens","1477","stálá",160,160,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.","bezrucovo udoli.pdf","koniklec otevøený","Pulsatilla patens","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.",160
"CZ0613695","netopýr velký","Myotis myotis","1324","rozmnožující se",150,200,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování stavu pøi vyhlášení: poèetné letní kolonie netopýra velkého prostøednictvím zachování vyhovujícího
stavu pùdních prostorù kostela, zejména pak mikroklimatického režimu.","Biskupice-kostel SDO 2013.pdf","netopýr velký","Myotis myotis","Zachování stavu pøi vyhlášení: poèetné letní kolonie netopýra velkého prostøednictvím zachování vyhovujícíhostavu pùdních prostorù kostela, zejména pak mikroklimatického režimu.",175
"CZ0613696","netopýr velký","Myotis myotis","1324","rozmnožující se",200,200,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování stavu pøi vyhlášení: poèetné letní kolonie netopýra velkého prostøednictvím zachování vyhovujícího
stavu pùdních prostorù kostela, zejména pak mikroklimatického režimu.","Biskupice-Å¡kola SDO 2013.pdf","netopýr velký","Myotis myotis","Zachování stavu pøi vyhlášení: poèetné letní kolonie netopýra velkého prostøednictvím zachování vyhovujícíhostavu pùdních prostorù kostela, zejména pak mikroklimatického režimu.",200
"CZ0313805","vranka obecná","Cottus gobio","1163","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Udržet stav populace zjištìný pøi vyhlášení EVL.","Blanice.pdf","vranka obecná","Cottus gobio","Udržet stav populace zjištìný pøi vyhlášení EVL.",NA
"CZ0313805","perlorodka øíèní","Margaritifera margaritifera","1029","stálá",NA,NA,NA,"dobré zachování","populace je izolovaná","vynikající hodnota","Udržet stav populace zjištìný pøi vyhlášení EVL","Blanice.pdf","perlorodka øíèní","Margaritifera margaritifera","Udržet stav populace zjištìný pøi vyhlášení EVL",NA
"CZ0623701","netopýr velký","Myotis myotis","1324","rozmnožující se",280,360,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.","Blansko kostel.pdf","netopýr velký","Myotis myotis","Zachovat stav pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.",320
"CZ0423201","pøástevník kostivalový *","Callimorpha quadripunctaria","1078","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zvýšit poèetnost populace druhu oproti stavu pøi vyhlášení EVL obnovou vhodných stanovištních podmínek.
* oznaèuje prioritní druh","blsansky chlum.pdf","pøástevník kostivalový","Callimorpha quadripunctaria","Zvýšit poèetnost populace druhu oproti stavu pøi vyhlášení EVL obnovou vhodných stanovištních podmínek.",NA
"CZ0623003","netopýr velký","Myotis myotis","1324","rozmnožující se",251,500,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Udržet stav populace pøedmìtu ochrany na úrovni stavu pøi vyhlášení zachováním prostor v pøíhodném stavu.","BÅ™eclav-kaple u nÃ¡draÅ¾Ã­ SDO 2013.pdf","netopýr velký","Myotis myotis","Udržet stav populace pøedmìtu ochrany na úrovni stavu pøi vyhlášení zachováním prostor v pøíhodném stavu.",375.5
"CZ0723401","vrkoè útlý","Vertigo angustior","1014","stálá",NA,NA,"pøítomná","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota",NA,"BÅ™eznice u ZlÃ­na SDO 2013.pdf","vrkoè útlý","Vertigo angustior",NA,NA
"CZ0314021","vážka jasnoskvrnná","Leucorrhinia pectoralis","1042","stálá",NA,NA,NA,"dobré zachování","populace je izolovaná","významná hodnota","Cílem je zachovat stav populace vážky jasnoskvrnné z doby vyhlášení EVL.","Borkovicka blata.pdf","vážka jasnoskvrnná","Leucorrhinia pectoralis","Cílem je zachovat stav populace vážky jasnoskvrnné z doby vyhlášení EVL.",NA
"CZ0533685","vrápenec malý","Rhinolophus hipposideros","1303","rozmnožující se",40,40,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stav pøi vyhlášení.","BorovÃ¡ u PoliÄky SDO 2013.pdf","vrápenec malý","Rhinolophus hipposideros","Zachovat stav pøi vyhlášení.",40
"CZ0624094","støevíèník pantoflíèek","Cypripedium calceolus","1902","stálá",32,32,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Udržet stav pøi vyhlášení.","Bosonozsky hajek.pdf","støevíèník pantoflíèek","Cypripedium calceolus","Udržet stav pøi vyhlášení.",32
"CZ0624094","støevíèník pantoflíèek","Cypripedium calceolus","1902","stálá",32,32,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Udržet stav pøi vyhlášení.","Bosonozsky.pdf","støevíèník pantoflíèek","Cypripedium calceolus","Udržet stav pøi vyhlášení.",32
"CZ0533686","netopýr èerný","Barbastella barbastellus","1308",NA,NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Každoroènì zimující populace o velikosti min 100 kusù","Bouda u TÄ›chonÃ­na SDO 2013.pdf","netopýr èerný","Barbastella barbastellus","Každoroènì zimující populace o velikosti min 100 kusù",NA
"CZ0533686","netopýr velký","Myotis myotis","1324",NA,NA,NA,NA,"vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Každoroènì zimující populace o velikosti min 20 kusù","Bouda u TÄ›chonÃ­na SDO 2013.pdf","netopýr velký","Myotis myotis","Každoroènì zimující populace o velikosti min 20 kusù",NA
"CZ0313115","kuòka ohnivá","Bombina bombina","1188","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Udržet poèetnost populace kuòky ohnivé ve stavu pøi vyhlášení EVL, tj. udržet dostatek kvalitních biotopù v
polointenzivnì obdìlávaném rybníce.","Boukal.pdf","kuòka ohnivá","Bombina bombina","Udržet poèetnost populace kuòky ohnivé ve stavu pøi vyhlášení EVL, tj. udržet dostatek kvalitních biotopù vpolointenzivnì obdìlávaném rybníce.",NA
"CZ0623772","kuòka ohnivá","Bombina bombina","1188","stálá",51,100,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zachovat stav populace z doby vyhlášení EVL udržením optimálních podmínek na lokalitì také do budoucna.","Bozicky mokrad.pdf","kuòka ohnivá","Bombina bombina","Zachovat stav populace z doby vyhlášení EVL udržením optimálních podmínek na lokalitì také do budoucna.",75.5
"CZ0623775","netopýr velký","Myotis myotis","1324","rozmnožující se",251,500,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zachovat populaci pøedmìtu ochrany ve stavu jako pøi vyhlášení EVL.","Bucovice-zamek.pdf","netopýr velký","Myotis myotis","Zachovat populaci pøedmìtu ochrany ve stavu jako pøi vyhlášení EVL.",375.5
"CZ0622181","hvozdík moravský *","Dianthus moravicus","4076","stálá",35,40,"jedinci","dobré zachování","populace na okraji areálu","dobrá hodnota","Udržení stabilní populace druhu minimálnì na úrovni pøi vyhlášení.
* oznaèuje prioritní druh","cervene strane.pdf","hvozdík moravský","Dianthus moravicus","Udržení stabilní populace druhu minimálnì na úrovni pøi vyhlášení.",37.5
"CZ0513237","kuòka ohnivá","Bombina bombina","1188","stálá",30,50,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Dlouhodobým cílem je zachování stavu populace kuòky ohnivé dle stavu pøi vyhlášení.","Ceska lipa.pdf","kuòka ohnivá","Bombina bombina","Dlouhodobým cílem je zachování stavu populace kuòky ohnivé dle stavu pøi vyhlášení.",40
"CZ0314634","netopýr velký","Myotis myotis","1324",NA,NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat stav pøedmìtu ochrany pøi zaøazení EVL do ES.","ChÃ½novskÃ¡ jeskynÄ› SDO 2013.pdf","netopýr velký","Myotis myotis","Zachovat stav pøedmìtu ochrany pøi zaøazení EVL do ES.",NA
"CZ0423213","roháè obecný","Lucanus cervus","1083","stálá",NA,NA,"pøítomná","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zlepšit stav populace druhu zvýšením a udržováním dostateèné nabídky vhodných biotopù.","Chomutov zoo.pdf","roháè obecný","Lucanus cervus","Zlepšit stav populace druhu zvýšením a udržováním dostateèné nabídky vhodných biotopù.",NA
"CZ0423213","páchník hnìdý *","Osmoderma eremita","1084","stálá",NA,NA,"pøítomná","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zlepšit stav populace druhu zvýšením a udržováním dostateèné nabídky vhodných biotopù.
* oznaèuje prioritní druh","Chomutov zoo.pdf","páchník hnìdý","Osmoderma eremita","Zlepšit stav populace druhu zvýšením a udržováním dostateèné nabídky vhodných biotopù.",NA
"CZ0712187","sleziník nepravý","Asplenium adulterinum","4066","stálá",400,400,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Dlouhodobým cílem je zachování stávající silné populace sleziníku nepravého v poèetnosti minimálnì 2500 –
3000 trsù.","Chrasticky.pdf","sleziník nepravý","Asplenium adulterinum","Dlouhodobým cílem je zachování stávající silné populace sleziníku nepravého v poèetnosti minimálnì 2500 –3000 trsù.",400
"CZ0423652","netopýr velký","Myotis myotis","1324","rozmnožující se",1,300,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachování pøedmìtu ochrany v poèetnosti jako pøi vyhlášení.","Chribska kostel.pdf","netopýr velký","Myotis myotis","Zachování pøedmìtu ochrany v poèetnosti jako pøi vyhlášení.",150.5
"CZ0713728","netopýr velký","Myotis myotis","1324","rozmnožující se",120,200,"jedinci","vynikající zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Dlouhodobým cílem je zachovat existenci letní kolonie netopýrù velkých s poèetností minimálnì jako v dobì
vyhlášení EVL.","ChudobÃ­n SDO 2013.pdf","netopýr velký","Myotis myotis","Dlouhodobým cílem je zachovat existenci letní kolonie netopýrù velkých s poèetností minimálnì jako v dobìvyhlášení EVL.",160
"CZ0723406","èolek velký","Triturus cristatus","1166","stálá",100,150,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Stabilizace a pozitivní vývoj pøedmìtu ochrany vèetnì jeho biotopu.","ChvalÄov SDO 2013.pdf","èolek velký","Triturus cristatus","Stabilizace a pozitivní vývoj pøedmìtu ochrany vèetnì jeho biotopu.",125
"CZ0813438","èolek velký","Triturus cristatus","1166","stálá",100,100,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Udržení stavu populace minimálnì na úrovni v dobì vyhlášení.","Cihelna kunin.pdf","èolek velký","Triturus cristatus","Udržení stavu populace minimálnì na úrovni v dobì vyhlášení.",100
"CZ0312030","hoøeèek èeský *","Gentianella bohemica","4094","stálá",2,204,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Zlepšit stav oproti stavu pøi vyhlášení EVL, tzn zvýšit populaci na velikost, která by byla odolná vùèi
krátkodobým výkyvùm klimatu nebo managementu.
* oznaèuje prioritní druh","Cista hora.pdf","hoøeèek èeský","Gentianella bohemica","Zlepšit stav oproti stavu pøi vyhlášení EVL, tzn zvýšit populaci na velikost, která by byla odolná vùèikrátkodobým výkyvùm klimatu nebo managementu.",103
"CZ0622221","kosatec skalní píseèný Iris humilis","subsp. arenaria","4098","stálá",40,40,"jedinci","prùmìrné nebo omezené zachování","populace na okraji areálu","významná hodnota","Udržení, pøíp. posílení populace (cca 35 - 40 trsù v letech 2006 - 2012) zajištìním vhodných podmínek za
pomoci cíleného managementu.","cz0622221_Stepanovsky_lom.pdf","kosatec skalní píseèný Iris humilis","subsp. arenaria","Udržení, pøíp. posílení populace (cca 35 - 40 trsù v letech 2006 - 2012) zajištìním vhodných podmínek zapomoci cíleného managementu.",40
"CZ0622224","kosatec skalní píseèný Iris humilis","subsp. arenaria","4098","stálá",1300,1300,"jedinci","vynikající zachování","populace na okraji areálu","vynikající hodnota","Udržení pøíznivého stavu populace zajištìním vhodných podmínek za pomoci cíleného managementu.","cz0622224_U_Michalka.pdf","kosatec skalní píseèný Iris humilis","subsp. arenaria","Udržení pøíznivého stavu populace zajištìním vhodných podmínek za pomoci cíleného managementu.",1300
"CZ0612133","støevíèník pantoflíèek","Cypripedium calceolus","1902","stálá",164,164,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Posílit stávající populaci støevíèníku (k roku 2012) a dosáhnout její rozšíøení z dosavadní malé a zranitelné
plochy na další místa EVL.","DÄ›dkovo SDO 2012.pdf","støevíèník pantoflíèek","Cypripedium calceolus","Posílit stávající populaci støevíèníku (k roku 2012) a dosáhnout její rozšíøení z dosavadní malé a zranitelnéplochy na další místa EVL.",164
"CZ0323147","èolek velký","Triturus cristatus","1166","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zachovat poèetnost populace alespoò ve stavu, v jakém byla v dobì vyhlášení.","Darmysl.pdf","èolek velký","Triturus cristatus","Zachovat poèetnost populace alespoò ve stavu, v jakém byla v dobì vyhlášení.",NA
"CZ0523007","vranka obecná","Cottus gobio","1163","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Dlouhodobým cílem je zachování stavu populace vranky obecné v toku Dìdiny alespoò jako pøi vyhlášení EVL.
To znamená ochranu a zachování hydromorfologických parametrù toku a navazující nivy. Nezhoršení fyzikálnì
– chemických vlastností vody a hydrologické bilance v nivì a navazujícím povodí.","dedina u dobrusky.pdf","vranka obecná","Cottus gobio","Dlouhodobým cílem je zachování stavu populace vranky obecné v toku Dìdiny alespoò jako pøi vyhlášení EVL.To znamená ochranu a zachování hydromorfologických parametrù toku a navazující nivy. Nezhoršení fyzikálnì– chemických vlastností vody a hydrologické bilance v nivì a navazujícím povodí.",NA
"CZ0523007","mihule potoèní","Lampetra planeri","1096","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","významná hodnota","Dlouhodobým cílem je zachování stavu populace mihule potoèní v toku Dìdiny alespoò jako pøi vyhlášení EVL.
To znamená ochranu a zachování hydromorfologických parametrù toku a navazující nivy. Nezhoršení fyzikálnì
– chemických vlastností vody a hydrologické bilance v nivì a navazujícím povodí.","dedina u dobrusky.pdf","mihule potoèní","Lampetra planeri","Dlouhodobým cílem je zachování stavu populace mihule potoèní v toku Dìdiny alespoò jako pøi vyhlášení EVL.To znamená ochranu a zachování hydromorfologických parametrù toku a navazující nivy. Nezhoršení fyzikálnì– chemických vlastností vody a hydrologické bilance v nivì a navazujícím povodí.",NA
"CZ0612133","støevíèník pantoflíèek","Cypripedium calceolus","1902","stálá",164,164,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Posílit stávající populaci støevíèníku (k roku 2012) a dosáhnout její rozšíøení z dosavadní malé a zranitelné
plochy na další místa EVL.","dedkovo.pdf","støevíèník pantoflíèek","Cypripedium calceolus","Posílit stávající populaci støevíèníku (k roku 2012) a dosáhnout její rozšíøení z dosavadní malé a zranitelnéplochy na další místa EVL.",164
"CZ0613809","kuòka ohnivá","Bombina bombina","1188","stálá",1,10,"jedinci","dobré zachování","populace na okraji areálu","významná hodnota","Poèetná a úspìšnì se rozmnožující populace kuòky ohnivé, tj. zvýšení poèetnosti oproti souèasnému stavu
(nižší desítky dospìlých jedincù). Zachování stávajících tùní u Dívky jako nejvýznamnìjších míst rozmnožování
ve vhodném stavu z hlediska nárokù kuòky. Zlepšení stavu rybníka Mikšovec tak, aby zde byly alespoò v
nìkterých letech ideální podmínky pro rozmnožování kunìk. Udržování terestrických biotopù kunìk ve
vyhovujícím stavu, zlepšení stavu nìkterých terestrických biotopù (zmìna péèe) a doplnìní dalších vhodných
vodních biotopù (tùní).","Divka.pdf","kuòka ohnivá","Bombina bombina","Poèetná a úspìšnì se rozmnožující populace kuòky ohnivé, tj. zvýšení poèetnosti oproti souèasnému stavu(nižší desítky dospìlých jedincù). Zachování stávajících tùní u Dívky jako nejvýznamnìjších míst rozmnožováníve vhodném stavu z hlediska nárokù kuòky. Zlepšení stavu rybníka Mikšovec tak, aby zde byly alespoò vnìkterých letech ideální podmínky pro rozmnožování kunìk. Udržování terestrických biotopù kunìk vevyhovujícím stavu, zlepšení stavu nìkterých terestrických biotopù (zmìna péèe) a doplnìní dalších vhodnýchvodních biotopù (tùní).",5.5
"CZ0623704","vrápenec malý","Rhinolophus hipposideros","1303","rozmnožující se",60,70,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","vynikající hodnota","Zachovat populaci pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.","Dlouha lhota.pdf","vrápenec malý","Rhinolophus hipposideros","Zachovat populaci pøedmìtu ochrany odpovídající stavu pøi vyhlášení EVL.",65
"CZ0513505","kuòka ohnivá","Bombina bombina","1188","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL","Dolni Ploucnice.pdf","kuòka ohnivá","Bombina bombina","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL",NA
"CZ0513505","vydra øíèní","Lutra lutra","1355","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.","Dolni Ploucnice.pdf","vydra øíèní","Lutra lutra","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.",NA
"CZ0513505","losos obecný","Salmo salar","1106","stálá",NA,NA,NA,"dobré zachování","populace na okraji areálu","dobrá hodnota","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.","Dolni Ploucnice.pdf","losos obecný","Salmo salar","Zvýšit poèetnost populace oproti stavu pøi vyhlášení EVL.",NA
"CZ0322055","sleziník nepravý","Asplenium adulterinum","4066","stálá",500,500,"jedinci","dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Minimálnì udržet stav populace z doby vyhlášení EVL a postupnì øízeným managementem zlepšit stav biotopu
pøedmìtu ochrany.","Drahotinsky.pdf","sleziník nepravý","Asplenium adulterinum","Minimálnì udržet stav populace z doby vyhlášení EVL a postupnì øízeným managementem zlepšit stav biotopupøedmìtu ochrany.",500
"CZ0523268","kuòka ohnivá","Bombina bombina","1188","stálá",NA,NA,NA,"dobré zachování","populace není izolovaná, leží uvnitø areálu rozšíøení druhu","dobrá hodnota","Dlouhodobým cílem je vytvoøit poèetnou a stabilní populaci kuòky ohnivé a zlepšit tak stav populace od stavu
pøi vyhlášení.","Dubno.pdf","kuòka ohnivá","Bombina bombina","Dlouhodobým cílem je vytvoøit poèetnou a stabilní populaci kuòky ohnivé a zlepšit tak stav populace od stavupøi vyhlášení.",NA
